plot,species,count
C,f_cymosa,52
C,f_cymosa,63
C,f_cymosa,110
C,f_cymosa,11
E,f_cymosa,8
E,f_cymosa,0
E,f_cymosa,21
E,f_cymosa,0
C,f_cymosa,38
C,f_cymosa,44
C,f_cymosa,137
C,f_cymosa,19
C,p_procumbens,18
C,p_procumbens,144
C,p_procumbens,114
C,p_procumbens,1
E,p_procumbens,66
E,p_procumbens,78
E,p_procumbens,42
E,p_procumbens,13
C,p_procumbens,69
C,p_procumbens,92
C,p_procumbens,29
C,p_procumbens,63
C,w_indica,16
C,w_indica,2
C,w_indica,0
C,w_indica,5
E,w_indica,6
E,w_indica,0
E,w_indica,17
E,w_indica,0
C,w_indica,25
C,w_indica,5
C,w_indica,4
C,w_indica,0
C,h_polyphyllum,9
C,h_polyphyllum,73
C,h_polyphyllum,318
C,h_polyphyllum,34
E,h_polyphyllum,17
E,h_polyphyllum,15
E,h_polyphyllum,206
E,h_polyphyllum,334
C,h_polyphyllum,35
C,h_polyphyllum,15
C,h_polyphyllum,243
C,h_polyphyllum,163
C,po_setaceum,0
C,po_setaceum,0
C,po_setaceum,0
C,po_setaceum,0
E,po_setaceum,0
E,po_setaceum,0
E,po_setaceum,0
E,po_setaceum,0
C,po_setaceum,4
C,po_setaceum,0
C,po_setaceum,0
C,po_setaceum,2
C,cyperus,2
C,cyperus,0
C,cyperus,0
C,cyperus,2
E,cyperus,2
E,cyperus,0
E,cyperus,0
E,cyperus,11
C,cyperus,3
C,cyperus,0
C,cyperus,0
C,cyperus,29
C,s_jamaicensis,4
C,s_jamaicensis,8
C,s_jamaicensis,3
C,s_jamaicensis,4
E,s_jamaicensis,0
E,s_jamaicensis,1
E,s_jamaicensis,1
E,s_jamaicensis,3
C,s_jamaicensis,0
C,s_jamaicensis,8
C,s_jamaicensis,1
C,s_jamaicensis,0
C,ph_abnormis,2
C,ph_abnormis,2
C,ph_abnormis,14
C,ph_abnormis,0
E,ph_abnormis,0
E,ph_abnormis,2
E,ph_abnormis,0
E,ph_abnormis,23
C,ph_abnormis,27
C,ph_abnormis,0
C,ph_abnormis,2
C,ph_abnormis,6
C,m_acuminata,0
C,m_acuminata,6
C,m_acuminata,3
C,m_acuminata,0
E,m_acuminata,0
E,m_acuminata,0
E,m_acuminata,0
E,m_acuminata,0
C,m_acuminata,0
C,m_acuminata,0
C,m_acuminata,0
C,m_acuminata,0
C,c_roseus,0
C,c_roseus,0
C,c_roseus,2
C,c_roseus,2
E,c_roseus,0
E,c_roseus,0
E,c_roseus,0
E,c_roseus,0
C,c_roseus,0
C,c_roseus,0
C,c_roseus,7
C,c_roseus,13
C,o_simulans,0
C,o_simulans,2
C,o_simulans,4
C,o_simulans,1
E,o_simulans,0
E,o_simulans,0
E,o_simulans,2
E,o_simulans,0
C,o_simulans,2
C,o_simulans,3
C,o_simulans,8
C,o_simulans,6
