tortoise,species,start,end
A,Waltheria indica,2,1.3
A,Polypremum procumbens,2.4,1.6
A,Fimbristylis cymosa,1.9,1.9
A,Heloptropium polyphyllum,2.4,1
A,Phyllanthus abnormis,3.1,2.7
B,Waltheria indica,1.2,0.6
B,Polypremum procumbens,2.3,1.4
B,Fimbristylis cymosa,2,1.5
C,Heloptropium polyphyllum,2,1.8
B,Phyllanthus abnormis,2.5,1.5
F,Waltheria indica,2,1.5
C,Polypremum procumbens,2.2,1.7
C,Fimbristylis cymosa,1.5,1.3
B,Heloptropium polyphyllum,1.5,0.7
G,Phyllanthus abnormis,1.8,0.1
D,Waltheria indica,1.7,1.3
D,Polypremum procumbens,2.7,1.1
D,Fimbristylis cymosa,1.1,1.1
D,Heloptropium polyphyllum,0.9,0.3
D,Phyllanthus abnormis,2.2,1.4
E,Waltheria indica,2.1,1.6
E,Polypremum procumbens,1.9,1.6
E,Fimbristylis cymosa,1.3,1.2
E,Heloptropium polyphyllum,2.4,1.4
E,Phyllanthus abnormis,2.1,1.9
G,Waltheria indica,1.7,1.4
F,Polypremum procumbens,1.7,1.4
F,Fimbristylis cymosa,1.5,1.2
F,Heloptropium polyphyllum,2,1
F,Phyllanthus abnormis,1,0.9
C,Waltheria indica,1.3,0.2
G,Polypremum procumbens,1.5,0.6
G,Fimbristylis cymosa,1.9,1.3
G,Heloptropium polyphyllum,1.3,0.6
C,Phyllanthus abnormis,1.4,0.5
H,Waltheria indica,1.4,1.1
H,Polypremum procumbens,1.7,1.2
H,Fimbristylis cymosa,2,1.1
H,Heloptropium polyphyllum,1.4,0.4
H,Phyllanthus abnormis,1.4,1.2
