date,plottype,ph_abnormis,p_procumbens,w_indica,h_polyphyllum,s_jamaicensis,o_simulans,f_cymosa,po_setaceum,cyperus,c_roseus,m_acuminata,eragostris,e_littoralis,e_neglecta
all,2E,1,1,1,1,1,0,1,1,1,0,0,0,0,0
all,2C,1,1,1,1,1,1,1,0,1,0,1,0,0,0
all,2G,1,1,1,1,0,1,1,1,1,0,0,0,0,0
all,3E,1,1,1,1,1,1,1,1,0,0,0,0,0,0
all,3C,1,1,1,1,1,1,1,0,0,0,1,0,0,1
all,3G,1,1,1,1,1,1,1,0,0,0,0,1,0,0
all,4E,1,1,1,1,1,1,1,1,0,0,1,0,0,0
all,4C,1,1,1,1,1,1,1,0,0,1,0,0,0,0
all,4G,1,1,1,1,1,1,1,1,1,1,0,0,0,0
all,5E,1,1,1,1,1,1,0,1,1,1,0,1,1,0
all,5C,1,1,1,1,1,1,1,0,1,1,0,0,0,0
all,5G,1,1,1,1,1,1,1,1,1,1,1,1,1,0
st,2E,1,1,1,1,1,0,1,1,1,0,0,0,0,0
st,2C,1,1,1,1,1,1,1,0,1,0,0,0,0,0
st,2G,1,1,1,1,0,1,1,0,1,0,0,0,0,0
st,3E,0,1,1,1,1,1,1,0,0,0,0,0,0,0
st,3C,1,1,1,1,1,1,1,0,0,0,0,0,0,0
st,3G,1,1,1,1,1,1,0,0,0,0,0,1,0,0
st,4E,1,1,1,1,1,0,1,0,0,0,1,0,0,0
st,4C,1,1,1,1,0,1,1,0,0,1,0,0,0,0
st,4G,0,1,1,1,1,1,1,0,1,1,0,0,0,0
st,5E,1,0,1,1,1,1,0,1,1,0,0,1,0,0
st,5C,1,1,1,1,1,0,1,0,0,0,0,0,0,0
st,5G,1,1,1,1,1,0,0,1,0,1,0,0,0,0
end,2G,1,1,1,1,0,1,1,1,1,0,0,0,0,0
end,2C,1,1,1,1,1,0,1,0,1,0,0,0,0,0
end,2E,0,1,1,1,0,0,1,0,1,0,0,0,0,0
end,3G,0,1,1,1,1,1,1,0,0,0,0,0,0,0
end,3C,1,1,1,1,1,1,1,0,0,0,1,0,0,1
end,3E,1,1,0,1,1,0,0,0,0,0,0,0,0,0
end,4G,1,1,1,1,1,1,1,0,0,0,0,0,0,0
end,4C,1,1,0,1,1,1,1,0,0,0,1,0,0,0
end,4E,0,1,1,1,1,1,1,0,0,0,0,0,0,0
end,5G,1,1,0,1,0,1,1,1,1,1,0,1,0,0
end,5C,0,1,1,1,0,1,1,0,1,0,0,0,0,0
end,5E,1,1,0,1,1,0,0,0,1,0,0,0,0,0
